feature,median
AATSC6v,0.4951063370331567
AATSC7v,-1.194281222167436
AATSC8v,-2.43480088038947
AATSC0se,0.0587403497258942
AATSC1se,-0.0009141424262627
AATSC2se,-0.000108820250254
AATSC3se,-0.0009492380912996
AATSC4se,0.0001932534585334
AATSC5se,-0.0008553927932153
AATSC6se,-0.0006910970752444
AATSC7se,-0.0006226822801274
AATSC8se,-0.0017933428148049
AATSC0pe,0.0972775510204081
AATSC1pe,0.0029300338925421
AATSC2pe,0.0002010878633253
AATSC3pe,-7.846546718369124e-05
AATSC4pe,0.0013288868732678
AATSC5pe,-0.0002205792682926
AATSC6pe,-0.001073159067654
AATSC7pe,-0.0014097717083707
AATSC8pe,-0.0032726511000796
AATSC0are,0.102584168241966
AATSC1are,0.0013232703991509
AATSC2are,-0.0002233136432926
AATSC3are,-0.0004199548025024
AATSC4are,0.001161693325979
AATSC5are,-0.0010096521811158
AATSC6are,-0.0010262943786982
AATSC7are,-0.0012090367575537
AATSC8are,-0.0029980879253236
AATSC0p,0.2265951225505827
AATSC1p,-0.0087116266938958
AATSC2p,0.016328782524576
AATSC3p,-0.0008505023846775
AATSC4p,-0.0021367945417019
AATSC5p,0.0035958299511358
AATSC6p,0.0025042399679746
AATSC7p,-0.0036893627745586
AATSC8p,-0.0109678165878398
AATSC0i,1.557278930489197
AATSC1i,-0.2490424845772889
AATSC2i,0.0960156712740914
AATSC3i,-0.0121632769561588
AATSC4i,-0.0353115284368913
AATSC5i,0.0014646715737432
AATSC6i,0.0301166594175723
AATSC7i,-0.0302372669820222
AATSC8i,-0.07851137839749
MATS1c,-0.4153758091927449
MATS2c,-0.0422482830390062
MATS3c,0.049146532419749
MATS4c,0.0003294305236656
MATS5c,-0.0202017167571718
MATS6c,-0.0070160984757981
MATS7c,-0.0018996111306072
MATS8c,-0.0134440303502147
MATS1dv,0.3104040495344843
MATS2dv,0.0895993600653549
MATS3dv,0.0556260105286548
MATS4dv,0.0562239848885892
MATS5dv,0.0262141333168202
MATS6dv,-0.0210509684962239
MATS7dv,-0.0522329166989752
MATS8dv,-0.0775074354104705
MATS1d,0.387517146776406
MATS2d,0.0516154766653369
MATS3d,0.0152609388278177
MATS4d,0.0200959756076433
MATS5d,0.0182387440098072
MATS6d,-0.029173612764944
MATS7d,-0.0436667424091799
MATS8d,-0.0626598465473145
MATS1s,-0.0355607507408626
MATS2s,0.0454789762435571
MATS3s,0.0273755432125384
MATS4s,0.0245105039648239
MATS5s,-0.0133335486945074
MATS6s,-0.0236351293959243
MATS7s,-0.0231068591218691
MATS8s,-0.0379733948690103
MATS1Z,0.062778546290168
MATS2Z,0.030024093148983
MATS3Z,-0.0112311126626904
MATS4Z,0.0130713688215106
MATS5Z,0.0173558869771185
MATS6Z,-0.0024939893575539
MATS7Z,-0.0248346964996396
MATS8Z,-0.0434983054226475
MATS1m,0.0611913070968753
MATS2m,0.0308120998441625
MATS3m,-0.0109223339828694
MATS4m,0.0112949163477582
MATS5m,0.0177010957959787
MATS6m,-0.0028408730970254
MATS7m,-0.0247539070343499
MATS8m,-0.0437123050814798
MATS1v,0.0069836124185097
MATS2v,0.0570427159520028
MATS3v,0.0017204213866395
MATS4v,0.0053222359512775
MATS5v,0.0249068681143135
MATS6v,0.0107552206986505
MATS7v,-0.0245613337100255
MATS8v,-0.0487719452997008
MATS1se,-0.0167514397186756
MATS2se,-0.0018427190864654
MATS3se,-0.0172192277655417
MATS4se,0.0039840642985087
MATS5se,-0.015915902725532
MATS6se,-0.0117792303530052
MATS7se,-0.0165290347789827
MATS8se,-0.0355844423661699
MATS1pe,0.0325288384227139
MATS2pe,0.0018842676088952
MATS3pe,-0.0005050279171283
MATS4pe,0.0143084033160653
MATS5pe,-0.0020983817662662
MATS6pe,-0.0111427836413198
MATS7pe,-0.0160822079851186
MATS8pe,-0.0375032672883274
MATS1are,0.013326614276558
MATS2are,-0.0021381613939539
MATS3are,-0.0045399576832339
MATS4are,0.0129877538296405
MATS5are,-0.0108688899094016
MATS6are,-0.0103447268871766
MATS7are,-0.0131716350716398
MATS8are,-0.0345103436685169
MATS1p,-0.0372227922719873
MATS2p,0.0702763371482753
MATS3p,-0.003442199357109
MATS4p,-0.0087320924684759
MATS5p,0.0132832212480239
MATS6p,0.009549510705212
MATS7p,-0.0149075333942193
MATS8p,-0.045831384118232
MATS1i,-0.1562270995092997
MATS2i,0.06190243283804
MATS3i,-0.0078766460064714
MATS4i,-0.021017044727187
MATS5i,0.0008736931015141
MATS6i,0.0189842608777982
MATS7i,-0.0187649610034393
MATS8i,-0.0489927985173526
GATS1c,1.485508912852236
GATS2c,1.206610749792945
GATS3c,1.021500337912673
GATS4c,1.001939838243658
GATS5c,1.055322486954379
GATS6c,1.052503308566327
GATS7c,1.01927773559061
GATS8c,1.001470170850011
GATS1dv,0.5285468587746626
GATS2dv,0.8976224860791798
GATS3dv,0.9514529597592544
GATS4dv,0.9586285614982978
GATS5dv,1.000336819260964
GATS6dv,1.05678846798525
GATS7dv,1.073833363795777
GATS8dv,1.09762535756352
GATS1d,0.6886574074074073
GATS2d,1.155393431001891
GATS3d,1.081587012461329
GATS4d,1.009252152873533
GATS5d,1.009244717304397
GATS6d,1.049232306492494
GATS7d,1.052424765190723
GATS8d,1.061946902654867
GATS1s,0.6732770910622575
GATS2s,0.620695632440736
GATS3s,0.8660826423580711
GATS4s,0.9790662650602407
GATS5s,1.092081573928347
GATS6s,1.086667948407159
GATS7s,1.074923244994444
GATS8s,1.08886806962465
GATS1Z,0.7937444527799495
GATS2Z,0.898586456278764
GATS3Z,0.9693270436242324
GATS4Z,0.966303230698372
GATS5Z,0.9621485402091604
GATS6Z,0.9768106612716584
GATS7Z,1.004498966794662
GATS8Z,1.031481874072504
GATS1m,0.7967882452582813
GATS2m,0.8974915088297132
GATS3m,0.9700188746039488
GATS4m,0.966002181470354
GATS5m,0.9614055424474444
GATS6m,0.9753285618142484
GATS7m,1.004322158041006
GATS8m,1.032365224901338
GATS1v,0.962691681602644
GATS2v,0.9009875673803768
GATS3v,0.978055189728072
GATS4v,0.970900321599075
GATS5v,0.9490776809566602
GATS6v,0.9634924925244328
GATS7v,1.000218079114135
GATS8v,1.037900717454263
GATS1se,0.8166973275900762
GATS2se,0.9257528210835668
GATS3se,0.9699336089527189
GATS4se,1.0014166528363055
GATS5se,1.073687374227227
GATS6se,1.062831123560977
GATS7se,1.0408019104923485
GATS8se,1.0442033998419475
GATS1pe,0.7743572753701639
GATS2pe,0.9261808544947684
GATS3pe,0.966910828502524
GATS4pe,0.9752136752136754
GATS5pe,1.036694529528243
GATS6pe,1.026610104278565
GATS7pe,1.018941498931699
GATS8pe,1.019510734009411
GATS1are,0.8107721884257487
GATS2are,0.9602361083160386
GATS3are,0.9782972445202616
GATS4are,0.991824042778536
GATS5are,1.05459294380734
GATS6are,1.036377179978838
GATS7are,1.016557163617169
GATS8are,1.019073212130429
GATS1p,1.084153957404728
GATS2p,0.9410242588453344
GATS3p,1.004627156864944
GATS4p,0.9973737313640124
GATS5p,0.9662941762748009
GATS6p,0.963149412998944
GATS7p,0.992912642402492
GATS8p,1.036919711929187
GATS1i,1.326662391916747
GATS2i,1.068592827470677
GATS3i,1.052826260909901
GATS4i,1.040102272924868
GATS5i,0.9955264988408932
GATS6i,0.9826272788526184
GATS7i,1.014565800896473
GATS8i,1.040787638176246
BCUTc-1h,0.4560117166028236
BCUTc-1l,-0.4119992179466183
BCUTdv-1h,6.023208859055437
BCUTdv-1l,0.9950057036697912
BCUTd-1h,3.295198488179456
BCUTd-1l,0.9772806717524424
BCUTs-1h,7.009361287800233
BCUTs-1l,1.3297749756613224
BCUTZ-1h,8.024703525415859
BCUTZ-1l,5.665895256075466
BCUTm-1h,16.012606713304525
BCUTm-1l,11.679721596373057
BCUTv-1h,20.93312258673164
BCUTv-1l,14.70177809032149
BCUTse-1h,3.703913589361049
BCUTse-1l,2.406528026574523
BCUTpe-1h,3.4910634914891503
BCUTpe-1l,2.210699581411108
BCUTare-1h,3.545644836397837
BCUTare-1l,2.1603484928298484
BCUTp-1h,2.033858895507959
BCUTp-1l,0.7512150478278183
BCUTi-1h,14.55612878122945
BCUTi-1l,10.92467369725988
BalabanJ,1.076785189020275
